"Timestamp","CPU_PercentUsed","Memory_PercentUsed","Disk_ReadIOPS","Disk_WriteIOPS"
"2025-05-15 11:23:41","2.38","79.5","254.61","24.79"
"2025-05-15 11:23:44","60.38","80.5","0","7.92"
"2025-05-15 11:23:48","17.29","80.5","0","0"
"2025-05-15 11:23:52","22.7","80.5","24.78","88.61"
"2025-05-15 11:23:56","8.15","78.5","0","2.97"
"2025-05-15 11:23:59","7.74","78","92.03","39.03"
"2025-05-15 11:24:03","73.68","82","175.2","1.97"
"2025-05-15 11:24:07","8.36","78.5","1.98","28.81"
"2025-05-15 11:24:10","5.52","78","0","69.4"
"2025-05-15 11:24:14","42.26","82","0","0"
"2025-05-15 11:24:17","5.65","78.5","0","0"
"2025-05-15 11:24:21","55.87","80","24.7","57.37"
"2025-05-15 11:24:24","31.33","78.5","0","0"
"2025-05-15 11:24:28","6.48","78","6.97","0"
"2025-05-15 11:24:32","75.15","81.5","16.97","7"
"2025-05-15 11:24:35","12.08","79","0","16.83"
"2025-05-15 11:24:39","8.52","78.5","3.99","70.97"
"2025-05-15 11:24:42","42.63","81","9.94","0"
"2025-05-15 11:24:46","6.27","78.5","0","26.81"
"2025-05-15 11:24:50","3.91","78","0","13"
"2025-05-15 11:24:53","47.17","81","9.94","21.93"
"2025-05-15 11:24:57","5.47","78.5","0","88.76"
"2025-05-15 11:25:00","12.9","78","0","35.02"
"2025-05-15 11:25:04","51.22","81.5","0","25.85"
"2025-05-15 11:25:08","3.9","78.5","0","0"
"2025-05-15 11:25:11","68.28","80","0.99","2.96"
"2025-05-15 11:25:15","17.59","78.5","0","19.79"
"2025-05-15 11:25:18","5.6","78","0","33.78"
"2025-05-15 11:25:22","62.16","80.5","0","0"
"2025-05-15 11:25:26","6.64","78","0","11.97"
"2025-05-15 11:25:29","6.04","78","0","163.38"
"2025-05-15 11:25:33","46.1","81","6.94","31.98"
"2025-05-15 11:25:36","8","78","0.99","1.98"
"2025-05-15 11:25:40","9.9","77.5","0","31"
"2025-05-15 11:25:44","46.59","81.5","6.99","26.73"
"2025-05-15 11:25:47","6.13","78","0","0"
"2025-05-15 11:25:51","34.9","79","0","132.73"
"2025-05-15 11:25:54","49.64","82","0","14.86"
"2025-05-15 11:25:58","7.97","78","0","2.97"
"2025-05-15 11:26:02","82.2","80.5","2.95","19.99"
"2025-05-15 11:26:05","21.67","78.5","0","0"
"2025-05-15 11:26:09","6.59","78","0","66.16"
"2025-05-15 11:26:12","50.05","81","1.99","45.01"
"2025-05-15 11:26:16","5.94","78.5","0","2.98"
"2025-05-15 11:26:20","6.7","78","0","126.86"
"2025-05-15 11:26:23","39.74","81","1.97","62.51"
"2025-05-15 11:26:27","6.19","78","0","2"
"2025-05-15 11:26:30","7.13","78","4.94","45.43"
"2025-05-15 11:26:34","52.94","81.5","0.99","12.94"
"2025-05-15 11:26:38","7.95","78","0","0"
"2025-05-15 11:26:41","61.52","80","0","31.63"
"2025-05-15 11:26:45","30.61","78.5","0","0"
"2025-05-15 11:26:48","5.88","78","0","2.98"
"2025-05-15 11:26:52","71.38","81","0","85.14"
"2025-05-15 11:26:56","5.36","78.5","10.01","0"
"2025-05-15 11:26:59","4.29","78","0","82.02"
"2025-05-15 11:27:03","57.43","81","0","34.84"
"2025-05-15 11:27:06","6.59","78","0","19.99"
"2025-05-15 11:27:10","7.72","78","0","12.88"
"2025-05-15 11:27:13","38.86","81.5","4","0"
"2025-05-15 11:27:17","4.19","78","0","0"
"2025-05-15 11:27:21","19.88","78.5","5.99","49.65"
"2025-05-15 11:27:24","48.33","81.5","5.99","0"
"2025-05-15 11:27:28","6.87","78","0","0.99"
"2025-05-15 11:27:31","80.73","80.5","0","22.99"
"2025-05-15 11:27:35","39.84","78.5","0","0"
"2025-05-15 11:27:39","9.43","78","0","32.65"
"2025-05-15 11:27:42","43.41","80.5","2.97","38.52"
"2025-05-15 11:27:46","8.47","78.5","0","5.98"
"2025-05-15 11:27:49","6.1","78","0","86.51"
"2025-05-15 11:27:53","52.09","81","2.97","13.9"
"2025-05-15 11:27:57","20.32","78","1.99","17.91"
"2025-05-15 11:28:00","7.23","78","0","44.45"
"2025-05-15 11:28:04","43.06","81.5","13.99","0"
"2025-05-15 11:28:07","6.11","78","0","0"
"2025-05-15 11:28:11","45.17","80","3.98","49.44"
"2025-05-15 11:28:15","43.78","78.5","0","116.94"
"2025-05-15 11:28:18","5.62","78","0","0"
"2025-05-15 11:28:22","78.25","80.5","0","3.95"
"2025-05-15 11:28:25","24.39","78.5","0","26.71"
"2025-05-15 11:28:29","5.63","78","0","82.03"
"2025-05-15 11:28:33","59.08","81","5.95","27.72"
"2025-05-15 11:28:36","4.24","78.5","0","15.97"
"2025-05-15 11:28:40","6.06","78","0","24.77"
"2025-05-15 11:28:43","43.84","81","0","8.98"
"2025-05-15 11:28:47","8.09","78.5","0","109.04"
"2025-05-15 11:28:51","10.33","78","1","45.46"
"2025-05-15 11:28:54","47.36","81.5","2.98","25.78"
"2025-05-15 11:28:58","8.68","78","0","2.97"
"2025-05-15 11:29:01","69.57","80","1.97","22.79"
"2025-05-15 11:29:05","40.77","78.5","0","30.69"
"2025-05-15 11:29:09","9","78","0","16.98"
"2025-05-15 11:29:12","54.76","81","6.99","8.98"
"2025-05-15 11:29:16","8.15","78.5","0","45.65"
"2025-05-15 11:29:19","3.77","78","0","169.32"
"2025-05-15 11:29:23","58.33","81","0.99","28.97"
"2025-05-15 11:29:27","5.74","78.5","0","22.79"
"2025-05-15 11:29:30","4.01","78","0","1"
"2025-05-15 11:29:34","49.83","81.5","16.8","30.65"
"2025-05-15 11:29:37","6.6","78","0","2.97"
"2025-05-15 11:29:41","28.92","79","0.99","54.53"
"2025-05-15 11:29:45","50.47","82","0","32.66"
"2025-05-15 11:29:48","7.27","78","0","0"
"2025-05-15 11:29:52","84.39","81","0","29.67"
"2025-05-15 11:29:55","30.51","78.5","0","23.74"
"2025-05-15 11:29:59","10.49","78","0","79.06"
"2025-05-15 11:30:03","70.69","81.5","0","39.7"
"2025-05-15 11:30:06","5.27","78.5","0","0"
"2025-05-15 11:30:10","11.16","78","2.99","122.05"
"2025-05-15 11:30:13","48.15","81.5","3.96","43.02"
"2025-05-15 11:30:17","5.84","78.5","0","2.97"
"2025-05-15 11:30:21","6.43","78","53.35","30.6"
"2025-05-15 11:30:24","49.88","81.5","7.99","32.74"
"2025-05-15 11:30:28","6.37","78","0","0"
"2025-05-15 11:30:31","62.24","80","27.99","36.58"
"2025-05-15 11:30:35","44.04","78.5","0","33.65"
"2025-05-15 11:30:39","7.87","78","0","0.98"
"2025-05-15 11:30:42","58.23","81","0","133.37"
"2025-05-15 11:30:46","6.23","78.5","1.98","0"
"2025-05-15 11:30:49","9.88","78","0","64.45"
"2025-05-15 11:30:53","54.62","81","8","94.28"
"2025-05-15 11:30:57","6.35","78.5","0","2.98"
"2025-05-15 11:31:00","7.04","78","0","8.94"
"2025-05-15 11:31:04","48.52","81.5","43.72","40.02"
"2025-05-15 11:31:07","5.85","78.5","0","1"
"2025-05-15 11:31:11","25.53","79","23.75","32.66"
"2025-05-15 11:31:15","48.55","82.5","1.99","116.86"
"2025-05-15 11:31:18","8.82","78.5","0","0.99"
"2025-05-15 11:31:22","79.77","81","0.99","22.71"
"2025-05-15 11:31:25","30.71","78.5","0","0"
"2025-05-15 11:31:29","5.51","78.5","0","34.59"
"2025-05-15 11:31:33","73","81.5","1","45.46"
"2025-05-15 11:31:36","6.73","78.5","0","0"
"2025-05-15 11:31:40","7.41","78.5","0","74.08"
"2025-05-15 11:31:43","52.87","81.5","0","47.02"
"2025-05-15 11:31:47","4.71","78.5","0","14.81"
"2025-05-15 11:31:50","7.21","78","35.65","39.54"
"2025-05-15 11:31:54","49.18","81.5","0.99","0"
"2025-05-15 11:31:58","6.28","78.5","0","4.94"
"2025-05-15 11:32:01","44.27","80.5","23.94","39.93"
"2025-05-15 11:32:05","40.1","80.5","0","0"
"2025-05-15 11:32:08","6.58","78.5","0","0"
"2025-05-15 11:32:12","83.62","81","0","10.94"
"2025-05-15 11:32:16","11.05","78.5","0","0"
"2025-05-15 11:32:19","7.23","78.5","0","69.31"
"2025-05-15 11:32:23","74.45","81.5","0","38.02"
"2025-05-15 11:32:26","8.83","78.5","0","21.79"
"2025-05-15 11:32:30","7.22","78","63.95","52.71"
"2025-05-15 11:32:34","64.07","81.5","11.92","2.98"
"2025-05-15 11:32:37","6.27","78.5","0","120"
"2025-05-15 11:32:41","7.37","78","53.41","43.52"
"2025-05-15 11:32:44","53.64","82","3","0"
"2025-05-15 11:32:48","6.77","78.5","0","3"
"2025-05-15 11:32:52","58.94","80","0","49"
"2025-05-15 11:32:55","45.82","78.5","0","42.59"
"2025-05-15 11:32:59","5.99","78.5","0","0"
"2025-05-15 11:33:02","71.49","81","0","32.59"
"2025-05-15 11:33:06","6.35","78.5","0","27.7"
"2025-05-15 11:33:10","5.67","78.5","0","161.5"
"2025-05-15 11:33:13","58.15","81.5","0","34.56"
"2025-05-15 11:33:17","5.81","78.5","0","10.87"
"2025-05-15 11:33:20","7.14","78","0","12.91"
"2025-05-15 11:33:24","50.7","82","11.99","0"
"2025-05-15 11:33:28","8.13","78.5","0","2.97"
"2025-05-15 11:33:31","23.88","79","26.9","42.57"
"2025-05-15 11:33:35","54.41","82","265.54","30.63"
"2025-05-15 11:33:38","5.92","79","0","0"
