"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_13-32-53","1.57","652.00","114,904.57","0.00"
"2025-05-08_13-33-07","0.85","651.00","57,385.60","0.00"
"2025-05-08_13-33-21","0.01","652.00","4,057.60","167.74"
"2025-05-08_13-33-35","0.00","653.00","0.00","50,101.80"
"2025-05-08_13-33-49","0.00","653.00","170,454.22","0.00"
"2025-05-08_13-34-03","3.51","652.00","218,772.51","357.76"
"2025-05-08_13-34-17","0.00","652.00","0.00","0.00"
"2025-05-08_13-34-31","0.11","653.00","0.00","0.00"
"2025-05-08_13-34-45","0.00","653.00","11,147.49","414.34"
"2025-05-08_13-34-59","1.62","653.00","4,069.55","189.10"
"2025-05-08_13-35-13","67.97","596.00","437,054.11","0.00"
"2025-05-08_13-35-28","0.00","597.00","4,095.88","0.00"
"2025-05-08_13-35-42","1.11","597.00","126,195.93","0.00"
"2025-05-08_13-35-56","0.04","588.00","3,049,784.06","412.36"
"2025-05-08_13-36-10","2.92","591.00","0.00","0.00"
"2025-05-08_13-36-24","2.17","591.00","12,218.64","71,805.20"
"2025-05-08_13-36-38","2.75","592.00","0.00","415.44"
"2025-05-08_13-36-52","0.95","593.00","0.00","510.68"
"2025-05-08_13-37-06","0.39","593.00","0.00","415.22"
"2025-05-08_13-37-20","0.98","593.00","0.00","65,065.32"
"2025-05-08_13-37-34","0.00","594.00","24,555.32","0.00"
"2025-05-08_13-37-48","0.39","594.00","0.00","0.00"
"2025-05-08_13-38-02","1.39","596.00","64,785.64","0.00"
"2025-05-08_13-38-17","0.20","588.00","111,823.36","0.00"
"2025-05-08_13-38-31","0.41","581.00","7,608.62","14,093.43"
"2025-05-08_13-38-45","0.45","593.00","0.00","410.70"
"2025-05-08_13-39-00","0.00","587.00","149,379.37","0.00"
"2025-05-08_13-39-14","0.57","593.00","0.00","0.00"
"2025-05-08_13-39-28","0.00","590.00","48,634.49","0.00"
"2025-05-08_13-39-42","0.00","585.00","115,198.59","0.00"
"2025-05-08_13-39-57","0.00","598.00","0.00","0.00"
"2025-05-08_13-40-11","0.00","588.00","39,008.48","129,431.02"
"2025-05-08_13-40-25","3.78","603.00","4,092.12","30,926.52"
