"Timestamp","CPU_Usage","Mem_Usage_MB","Disk_KBps","File_KBps"
"2025-05-09 00:59:14","37.27","2,420.51","678.59","1,518.19"
"2025-05-09 00:59:33","0.04","2,396.01","440.50","4,074.10"
"2025-05-09 00:59:52","0.00","2,333.54","614.40","3,641.62"
"2025-05-09 01:00:11","0.00","2,337.76","67.80","8,167.81"
"2025-05-09 01:00:30","1.23","2,337.97","0.00","12.77"
"2025-05-09 01:00:49","0.98","2,337.59","80.05","0.00"
"2025-05-09 01:01:08","15.25","2,335.36","770.03","0.00"
"2025-05-09 01:01:27","33.83","2,337.46","1,083.39","22.02"
"2025-05-09 01:01:46","30.56","2,422.71","156.19","0.27"
"2025-05-09 01:02:24","55.38","2,409.34","0.00","1,374.82"
"2025-05-09 01:02:43","7.69","2,385.93","3.98","3,814.54"
"2025-05-09 01:03:02","0.75","2,326.91","548.42","3,134.36"
"2025-05-09 01:03:21","0.90","2,331.71","0.00","9,373.92"
"2025-05-09 01:03:40","0.50","2,333.06","16.32","7.17"
"2025-05-09 01:03:59","0.29","2,334.06","72.03","4.05"
"2025-05-09 01:04:20","2.91","2,429.76","0.00","250.74"
"2025-05-09 01:04:40","1.87","2,411.36","12.47","0.40"
"2025-05-09 01:05:00","0.00","2,409.14","0.00","0.60"
"2025-05-09 01:05:20","1.75","2,392.02","0.00","0.40"
"2025-05-09 01:05:41","0.97","2,392.19","0.00","0.00"
"2025-05-09 01:06:02","0.35","2,390.33","0.00","0.00"
"2025-05-09 01:06:23","52.41","2,422.72","474.24","0.00"
"2025-05-09 01:06:43","6.14","2,416.86","0.00","0.00"
"2025-05-09 01:07:04","0.93","2,410.09","0.00","0.00"
"2025-05-09 01:07:24","4.48","2,407.29","9.93","0.00"
"2025-05-09 01:07:45","0.59","2,407.20","93.71","8.12"
"2025-05-09 01:08:05","1.95","2,403.18","0.00","0.00"
"2025-05-09 01:08:25","0.81","2,401.54","4.00","0.00"
"2025-05-09 01:08:45","1.77","2,400.52","0.00","8.15"
"2025-05-09 01:09:05","1.54","2,400.86","0.00","0.00"
"2025-05-09 01:09:24","0.71","2,400.54","0.00","0.00"
"2025-05-09 01:09:43","7.95","2,398.33","0.00","0.00"
"2025-05-09 01:10:02","0.00","2,398.44","0.00","45.15"
"2025-05-09 01:10:21","0.14","2,398.19","0.00","0.00"
"2025-05-09 01:10:40","0.64","2,397.09","8.42","0.40"
"2025-05-09 01:11:00","0.32","2,396.31","0.00","4.06"
"2025-05-09 01:11:19","1.08","2,396.03","0.00","0.00"
"2025-05-09 01:11:38","0.00","2,395.92","63.88","0.00"
"2025-05-09 01:11:57","0.49","2,395.03","0.00","0.00"
"2025-05-09 01:12:16","0.99","2,395.26","0.00","0.00"
"2025-05-09 01:12:35","1.46","2,395.59","0.00","0.00"
